metric,value
Data source,offline (forced)
Risk-free rate (10Y),
Beta,
Cost of equity (CAPM),
Cost of debt (pre-tax),
Weight of equity,
Weight of debt,
WACC,0.09
Terminal growth,0.03
PV of explicit FCF ($M),340719.58
Terminal value ($M),1799888.29
PV of terminal value ($M),1169803.89
Enterprise value ($M),1510523.47
Net debt ($M),-8404.0
Equity value ($M),1518927.47
Shares outstanding (M),7434.0
Implied share price ($),204.32
Current market price ($),428.0
Upside / (downside) vs. market,-0.5226
Verdict,OVERVALUED
